,runtime,director,writer,actors
1106,2h 4m,['Ding Sheng'],"['Ding Sheng', 'He Keke']","[' (Ma Yuan)', ' (Dahai)', ' (Rui Ge)', ' (Fan Chuan)', ' (Auntie Qin)', ' (Yamaguchi)', ' (Dakui)', ' (Xiaohu)', ' (Da Guo)']"
1107,1h 56m,"['Song Xiaofei', 'Dong Xu']",[],"[' ()', ' ()', ' ()', ' ()', ' ()', ' ()', ' ()', ' ()', ' (Grave Digger)']"
1108,1h 42m,['Dan Mazer'],[],"[' (Dick Kelly)', ' (Jason Kelly)', ' (Lenore)', ' (Shadia)', ' (Meredith Goldstein)', ' (David Kelly)', ' (Cousin Nick)', ' (Tyrone)', ' (Officer Finch)']"
1109,2h 5m,['Timur Bekmambetov'],[],"[' (Judah Ben-Hur)', ' (Pontius Pilate)', ' (Jésus Christ)', ' (Sheik Ilderim)', ' (Naomi Ben-Hur)', ' (Messala Severus)', ' (Esther)', ' (Tirzah Ben-Hur)', ' (Druses)']"
1110,2h 5m,['Timur Bekmambetov'],[],"[' (Judah Ben-Hur)', ' (Pontius Pilate)', ' (Jésus Christ)', ' (Sheik Ilderim)', ' (Naomi Ben-Hur)', ' (Messala Severus)', ' (Esther)', ' (Tirzah Ben-Hur)', ' (Druses)']"
1111,1h 38m,['Jodie Foster'],"['Alan DiFiore', 'Jim Kouf']","[' (Lee Gates)', ' (Patty Fenn)', ' (Kyle Budwell)', ' (Walt Camby)', ' (Diane Lester)', ' (Captain Powell)', ' (Ron Sprecher)', ' (Lenny Libatino)', ' (Lt. Nelson)']"
1112,1h 58m,['Yeon Sang-ho'],['Park Joo-suk'],"[' (Seok-woo)', ' (Soo-ahn)', ' (Sung-gyeong)', ' (Sang-hwa)', ' (Yeong-gook)', ' (Jin-hee)', ' (Yong-suk)', ' (In-gil)', ' (Jong-gil)']"
1113,1h 34m,['Kirk Jones'],['Nia Vardalos'],"[' (Toula Portokalos-Miller)', ' (Ian Miller)', ' (Paris Miller)', ' (Kostas ""Gus"" Portokalos)', ' (Maria Portokalos)', ' (Aunt Voula)', ' (Nikki Portokalos)', ' (Angelo)', ' (Nick Portokalos)']"
1114,1h 37m,['David Frankel'],['Allan Loeb'],"[' (Howard Inlet)', ' (Whit Yardsham)', ' (Claire Wilson)', ' (Simon Scott)', ' (Brigitte)', ' (Raffi)', ' (Amy Moore)', ' (Madeleine)', ' (Sally Price)']"
1115,1h 48m,['Jazz Boon'],['Cat Kwan Ho-Ming'],"[' (Blue)', ' (Shiu Chi-Long)', ' (Q sir/Inspector Q)', ' (Ding Siu-Ka)', ' (Foon Hei-Gor)', ' (Tung Pak-Ho)', ' (Siu Ying)', ' (sniper / assassin)', ' (Kwok Ming)']"
1116,2h 50m,['Ali Abbas Zafar'],['Ali Abbas Zafar'],"[' (Sultan Ali Khan)', ' (Aarfa Ali Khan)', ' (Fateh Singh)', ' (Aakash)', ' (Barkat)', ' (Gyan Singh Oberoi)', ' (Self)', ' (Self)', ' (Self)']"
1117,1h 54m,['Todd Phillips'],"['Todd Phillips', 'Stephen Chin', 'Jason Smilovic']","[' (David Packouz)', ' (Efraim Diveroli)', ' (Iz)', ' (Henry Girard)', ' (Ralph Slutzky)', ' (Captain Phillip Santos)', ' (Marlboro)', ' (Bashkim)', ' (Enver)']"
1118,1h 41m,"['Liang Xuan', 'Zhang Chun']",['Liang Xuan'],"[' (Chun (voice))', ' (Old Chun (voice))', ' (Qiu (voice))', ' (Kun (voice))', ' (Ling Po (voice))', "" (Kun's Sister (voice))"", ' (Feng (voice))', "" (Chun's Father (Shu, voice))"", ' (Zi Chisong (voice))']"
1119,1h 39m,['Mike Flanagan'],"['Mike Flanagan', 'Jeff Howard']","[' (Paulina Zander)', ' (Alice Zander)', ' (Doris Zander)', ' (Father Tom)', ' (Mikey)', ' (Ellie)', ' (Betty)', ' (Marcus)', ' (Jenny Browning)']"
1120,1h 31m,['Anna Foerster'],"['Cory Goodman', 'Kyle Ward']","[' (Selene)', ' (David)', ' (Marius)', ' (Semira)', ' (Varga)', ' (Vidar)', ' (Cassius)', ' (Lena)', ' (Alexia)']"
1121,2h 18m,['Kenneth Lonergan'],['Kenneth Lonergan'],"[' (Lee Chandler)', ' (Patrick Chandler)', ' (Randi Chandler)', ' (Joe Chandler)', ' (George)', ' (Elise Henderson)', ' (Jeffrey Garner)', ' (Sandy)', ' (Jill)']"
1122,1h 31m,['Ben Falcone'],[],"[' (Michelle Darnell)', ' (Claire)', ' (Renault)', ' (Ida Marquette)', ' (Mike Beals)', ' (Stephan)', ' (Scout Leader Sandy)', ' (Rachel)', ' (Bryce Crean)']"
1123,2h,"['Hideaki Anno', 'Shinji Higuchi']",[],"[' (Rando Yaguchi : Deputy Chief Cabinet Secretary)', ' (Hideki Akasaka : Special Advisor to the Prime Minister)', ' (Kayoko Ann Patterson : US special envoy)', ' (Yusuke Shimura : Secretary of Rando)', ' (Syuichi Izumi : Policy Research Council Vice Chairman)', ' (Hiromi Ogashira : Ministry of the Environment Nature)', ' (Ryu Yasuda : Ministry of Education, Culture, Sports, Science and Technology, Research / Promotion Bureau Director)', ' (Fumiya Mori : Ministry of Health, Labour and Welfare / Research and Development Division Director)', ' (Kunio Hazama : Jouhoku University Associate professor)']"
1124,1h 38m,['Jake Szymanski'],"[""Brendan O'Brien"", 'Andrew J. Cohen']","[' (Dave Stangle)', ' (Mike Stangle)', ' (Alice)', ' (Tatiana)', ' (Eric)', ' (Burt)', ' (Jeanie Stangle)', ' (Kalani - BBQ Chef)', ' (Randy)']"
1125,1h 42m,['Travis Knight'],"['Marc Haimes', 'Shannon Tindle']","[' (Kubo (voice))', ' (Monkey / Mother (voice))', ' (Kameyo (voice))', ' (Hashi (voice))', ' (Mari (voice))', ' (Hosato (voice))', ' (The Sisters (voice))', ' (Moon King (voice))', ' (Beetle (voice))']"
1126,1h 43m,['Tyler Perry'],['Tyler Perry'],"[' (Mabel ""Madea"" Simmons / Uncle Joe Simmons / Brian Simmons)', ' (Betty Ann ""Aunt Bam"" Murphy)', ' (Tiffany Simmons)', ' (Jonathan)', ' (Rain Mathison)', ' (Aday Walker)', ' (Hattie Mae Love)', ' (Leah Devereaux)', ' (Quinton)']"
1127,1h 59m,['Patricia Riggen'],[],"[' (Christy Beam)', ' (Anna Beam)', ' (Kevin Beam)', ' (Abby Beam)', ' (Adelynn Beam)', ' (Pastor Scott)', ' (Dr. Nurko)', ' (Angela Bradford)', ' (Ben)']"
1128,1h 56m,['Shane Black'],"['Shane Black', 'Anthony Bagarozzi']","[' (Jackson Healy)', ' (Holland March)', ' (Holly March)', ' (John Boy)', ' (Amelia Kuttner)', ' (Tally)', ' (Older Guy)', ' (Blueface)', ' (Mrs. Glenn)']"
1129,2h 8m,['Feng Xiaogang'],[],"[' (Li Xuelian)', ' (Mayor Ma)', ' (Zhao Datou)', ' (Wang Gungdao)', ' (Jia Jongming)', ' (Zheng Zhong)', ' (Qin Yuhe)', "" (Mayor's Secretary)"", ' (County Chief Shi)']"
1130,2h 8m,['Zhang Jiajia'],"['Zhang Jiajia', 'Wong Kar-Wai']","[' (Chen Mo)', ' (Guan Chun)', ' (Xiao Yu)', ' (Ma Li)', ' (Mao Mao)', ' (Jiang Jie)', ' (Ma Li in youth)', ' (Bride)', ' (He Muzi)']"
1131,2h,['Hiroaki Miyamoto'],[],"[' (Roronoa Zoro (voice))', ' (Monkey D. Luffy (voice))', ' (Nami (voice))', ' (Usopp (voice))', ' (Sanji (voice))', ' (Nico Robin (voice))', ' (Tony Tony Chopper (voice))', ' (Franky (voice))', ' (Gild Tesoro (voice))']"
1132,1h 44m,['Chris Wedge'],"['Glenn Berger', 'Matthew Robinson', 'Jonathan Aibel']","[' (Tripp Coley)', ' (Meredith)', ' (Cindy Coley)', ' (Reece Tenneson)', ' (Mr. Weathers)', ' (Sheriff Rick)', ' (Burke)', ' (Wade Coley)', ' (Dr. Bill Dowd)']"
1133,2h 19m,['Denzel Washington'],[],"[' (Troy Maxson)', ' (Rose Maxson)', ' (Jim Bono)', ' (Cory Maxson)', ' (Lyons Maxson)', ' (Gabriel Maxson)', ' (Raynell Maxson)', ' (Evangelist Preacher)', ' (Deputy Commissioner)']"
1134,1h 46m,"['Joel Coen', 'Ethan Coen']","['Joel Coen', 'Ethan Coen']","[' (Eddie Mannix)', ' (Baird Whitlock)', ' (Hobie Doyle)', ' (Laurence Laurentz)', ' (DeeAnna Moran)', ' (Thora Thacker / Thessaly Thacker)', ' (Burt Gurney)', ' (C. C. Calhoun)', ' (Joe Silverman)']"
1135,1h 37m,['Yang Qing'],['Yang Qing'],"[' (Liu Bo)', ' (Yu Xiaohui)', ' (Xu Dong)', ' (Wang Pingchuan/Four Eyes)', ' (Monk)', ' (Pigsy)', ' (Sha Seng/Monk Sandy)', ' (Brother QI)', ' (Manager Zhang)']"
1136,1h 53m,['Guo Jingming'],['Guo Jingming'],"[' (Shen Yin)', ' (Guishan Lian Quan)', ' (Tianshu You Hua)', ' (Yin Chen)', ' (Thalia)', ' (Ni Hong)', ' (You Ming)', ' (Qi Ling)', ' ()']"
1137,1h 40m,['Ben Stiller'],"['Ben Stiller', 'Justin Theroux', 'John Hamburg', 'Nicholas Stoller']","[' (Derek Zoolander)', ' (Hansel)', ' (Jacobim Mugatu)', ' (Valentina Valencia)', ' (Alexanya Atoz)', ' (VIP)', ' (Don Atari)', ' (Katinka)', ' (Matilda Jeffries)']"
1138,1h 52m,['Malcolm D. Lee'],[],"[' (Calvin Palmer)', ' (Eddie)', ' (Angie)', ' (Jimmy)', ' (Terri)', ' (Draya)', ' (J.D.)', ' (Jabari)', ' (Jennifer)']"
1139,2h 20m,['Kim Jee-woon'],"['Park Jong-dae', 'Lee Ji-min']","[' (Lee Jung-chool)', ' (Kim Woo-jin)', ' (Yun Gye-soon)', ' (Higashi)', ' (Hashimoto)', ' (Jo Hwe-ryung)', ' (Jung Chae-san)', ' (Kim Jang-ok)', ' (Ha Il-soo)']"
1140,1h 33m,['Jeffrey Lau Chun-Wai'],['Jeffrey Lau Chun-Wai'],"[' (Monkey King)', ' (Zixia)', ' (Bai Jingjing)', ' (Tang Seng)', ' (Chun Sanshi Niang)', ' (Iron Fan)', ' (Red Boy)', ' (Guanyin)', ' (Erlang Shen)']"
1141,2h 6m,['Kim Seong-hun'],['Kim Seong-hun'],"[' (Lee Jung-soo)', ' (Se-hyun)', ' (Dae-kyung)', ' (Captain Kang)', ' (Mi-Na)', ' (Chief Choi)', ' (Soo-jin)', ' (Minister)', ' (Reporter Jo)']"
1142,2h 13m,['Peter Berg'],"['Peter Berg', 'Matt Cook', 'Eric Johnson', 'Paul Tamasy']","[' (Sgt. Tommy Saunders)', ' (Commisioner Ed Davis)', ' (Sgt. Jeffrey Pugliese)', ' (Richard DesLauriers)', ' (Carol Saunders)', ' (Dzhokhar Tsarnaev)', ' (Tamerlan Tsarnaev)', ' (Gov. Deval Patrick)', ' (Mayor Thomas Menino)']"
1143,1h 57m,['Craig Gillespie'],[],"[' (Bernie Webber)', ' (Ray Sybert)', ' (Richard Livesey)', ' (Daniel Cluff)', ' (Miriam Webber)', ' (Wallace Quirey)', ' (Andy Fitzgerald)', ' (Ervin Maske)', ' (Frank Fauteux)']"
1144,2h 23m,['Cho Ui-seok'],[],"[' (President Jin)', ' (Kim Jae-myung)', ' (Park Jang-goon)', ' (Sin Gemma)', ' (Hwang Myung-joon)', ' (Kim Eom-ma)', ' (Chief of the National Police Agency)', ' (Chief Han)', ' (Man with Glasses)']"
1145,2h 36m,['Na Hong-jin'],['Na Hong-jin'],"[' (Jong-goo)', ' (Il-gwang)', ' (Moo-myeong)', ' (The Stranger)', ' (Hyo-jin)', ' (Mother-in-Law)', "" (Jong-goo's Wife)"", ' (Yang Yi-sam)', ' (Detective)']"
1146,1h 58m,['Hugo Gélin'],[],"[' (Samuel)', ' (Gloria)', ' (Kristin)', ' (Bernie)', ' (Lowell)', ' (Samantha)', ' (Miss Appleton)', ' (Tom)', ' (Assistant director)']"
1147,1h 52m,['Lee Kae-byeok'],['Jang Yoon-mi'],"[' (Hyung-wook)', ' (Yoon Jae-sung)', ' (Ri-na)', ' (Song Eun-joo)', ' (Kwon Hee-rak)', ' (Choi Moon-seok)', ' (Il-sung)', ' (Assistant Director Jo)', ' (Film Director)']"
1148,1h 50m,['Stephen Frears'],['Stephen Frears'],"[' (Florence Foster Jenkins)', ' (St. Clair Bayfield)', ' (Cosmé McMoon)', ' (Kathleen Weatherley)', ' (Agnes Stark)', ' (Phineas Stark)', ' (John Totten)', ' (Earl Wilson)', ' (Carlo Edwards)']"
1149,1h 48m,['J. A. Bayona'],[],"[' (Conor)', ' (Grandma)', ' (Mum)', ' (Dad)', ' (Mr. Clark)', ' (Harry)', ' (Sully)', ' (Anton)', ' (Miss Kwan)']"
1150,1h 46m,['Dexter Fletcher'],[],"[' (Eddie Edwards)', ' (Bronson Peary)', ' (Warren Sharp)', ' (Carrie)', ' (Erik Moberg)', ' (Petra)', ' (BBC Commentator)', ' (Janette)', ' (Terry)']"
1151,1h 29m,['Adam Wingard'],['Simon Barrett'],"[' (James Donahue)', ' (Lisa Arlington)', ' (Peter Jones)', ' (Ashley Bennett)', ' (Talia)', ' (Lane)', ' (Heather (archive footage))']"
1152,1h 39m,['Ding Liang'],"['Tiezhi Cui', 'Yun Xu', 'Qin Wan']","[' (熊大、李老板 (voice))', ' (光头强 (voice))', ' (熊二 (voice))', ' (黑风、小浣熊 (voice))', ' (蹦蹦 (voice))', ' (萝卜头 (voice))', ' (马戏团团长 (voice))', ' (配音 (voice))', ' (涂涂 (voice))']"
1153,1h 37m,['Woody Allen'],['Woody Allen'],"[' (Bobby Dorfman)', ' (Vonnie Sybil)', ' (Phil Stern)', ' (Veronica Hayes)', ' (Rad Taylor)', ' (Ben Dorfman)', ' (Rose Dorfman)', ' (Marty Dorfman)', ' (Candy)']"
1154,2h 10m,['Koan Hui On'],[],"[' (Jiang Ziya)', ' (Daji)', ' (Yang Jian)', ' (General Leopard (Mahamayuri))', ' (Blue Butterfly)', ' (Ji Lei (Skylord))', ' (King Zhou of Shang)', ' (Ji Fa)', ' (Naza the Warrior)']"
1155,1h 51m,['David E. Talbert'],['David E. Talbert'],"[' (Cheryl)', ' (Malachi)', ' (Walter)', ' (Brooks)', ' (Christian)', ' (Aunt May)', ' (Sonya)', ' (Uncle Lonnie)', ' (Rachel)']"
1156,1h 32m,['Robert Eggers'],['Robert Eggers'],"[' (Thomasin)', ' (William)', ' (Katherine)', ' (Caleb)', ' (Mercy)', ' (Jonas)', ' (Governor)', ' (The Witch)', ' (The Witch, Young)']"
1157,1h 45m,['Zhao Tianyu'],['Shen Feixian'],"[' (Bei Weiwei / Luwei Weiwei)', ' (Xiao Nai / Yixiao Naihe)', ' (Cao Guang / Zhenshui Wuxiang)', ' (Xiao Ling)', ' (Er Xi)', ' (Yu Ban Shan)', ' (Meng Yi Ran)', ' (Die Meng / Wei Xing)', ' (Zhan Tian Xia)']"
1158,1h 31m,['Mandie Fletcher'],[],"[' (Edina Monsoon)', ' (Patsy Stone)', ' (Saffron Monsoon)', ' (Mother)', ' (Bubble / Shirley Bassey)', ' (Christopher)', ' (Marshall)', ' (Bo)', ' (Magda)']"
1159,1h 36m,['César Rodrigues'],[],"[' (Dona Hermínia)', ' (Juliano)', ' (Marcelina)', ' (Lúcia Helena)', ' (Iesa)', ' (Carlos Alberto)', ' (Waldeia)', ' (Tia Zélia)', ' (Garib)']"
1160,1h 43m,['Yuen Wo-Ping'],"['John Fusco', 'Bey Logan']","[' (Silent Wolf)', ' (Yu Shu Lien)', ' (Hades Dai)', ' (Snow Vase)', ' (Wei Fang)', ' (Blind Enchantress)', ' (Iron Crow)', ' (Flying Blade)', ' (Silver Dart Shi)']"
1161,1h 42m,['David Mackenzie'],['Taylor Sheridan'],"[' (Marcus Hamilton)', ' (Toby Howard)', ' (Tanner Howard)', ' (Alberto Parker)', ' (Debbie Howard)', ' (Billy Rayburn)', ' (Elsie)', ' (Mr. Clauson)', ' (Olney Teller)']"
1162,1h 43m,['Wong Jing'],['Wong Jing'],"[' (Sir Sampan Hung)', ' (Louis Huo)', ' (Mrs. Hung)', ' (Phoenix)', ' (Karen Huo)', ' (Amon)', ' ()', ' (killer)', ' (Mercenary)']"
1163,2h 25m,['Park Chan-wook'],"['Park Chan-wook', 'Chung Seo-kyung']","[' (Lady Hideko)', ' (Sook-hee)', ' (Count Fujiwara)', ' (Uncle Kouzuki)', ' (Ms. Sasaki)', "" (Hideko's Aunt)"", ' (Bok-soon)', ' (Kkeut-dan)', ' (Goo-gai)']"
1164,2h 14m,['Oliver Stone'],[],"[' (Edward Snowden)', ' (Lindsay Mills)', ' (Laura Poitras)', ' (Glenn Greenwald)', ' (Ewen MacAskill)', ' (Trevor James)', ' (CIA Agent Geneva)', ' (Gabriel Sol)', ' (Patrick Haynes)']"
1165,2h 6m,['Hiroaki Matsuyama'],['Ayumi Ishii'],"[' (Saburo / Nobunaga Oda)', ' (Kicho)', ' (Tsuneoki Ikeda)', ' (Denjiro Tahara)', ' (Ichi)', ' (Inuchiyo Maeda)', ' (Ieyasu Tokugawa)', ' (Hisahide Matsunaga)', ' ()']"
1166,1h 34m,['Olivier Baroux'],[],"[' (Jeff Tuche)', ' (Cathy Tuche)', ' (Stéphanie Tuche)', ' (Mamie Suze)', ' (Donald Tuche)', ' (Wilfried Tuche)', ' (Juan)', ' (Georges Diouf)', "" (Thierry, l'agent de Stéphanie)""]"
1167,1h 46m,['Shin Terra'],"['Shin Terra', 'Edmond Wong']","[' (Lee San)', ' (A-Yo / Wong Bok-Yo)', ' (Wonder Woman Cat)', ' (Swan)', ' (Baobao / ""Babe"" / ""Bobo"")', ' (Tommy)', ' (Eom Sam)', "" (Chairman's entourage / Cat stand-in)"", "" (Eom Sam's subordinate)""]"
1168,2h 38m,['Karan Johar'],[],"[' (Ayan Sanger)', ' (Alizeh Khan)', ' (Saba)', ' (DJ Ali)', "" (Lisa D'Souza)"", ' (Dr. Faisal Khan)', ' (Bollywood Dancer)', ' (Concert Rocker)', ' (Posh Restaurant Diner)']"
1169,1h 37m,['Paolo Genovese'],['Paolo Genovese'],"[' (Peppe)', ' (Carlotta)', ' (Rocco)', ' (Cosimo)', ' (Lele)', ' (Bianca)', ' (Eva)', ' (Sofia)', ' (Nonna)']"
1170,1h 53m,['Ang Lee'],[],"[' (Billy Lynn)', ' (Kathryn Lynn)', ' (Albert)', ' (David Dime)', ' (Shroom)', ' (Norm Oglesby)', ' (Faison)', ' (Sgt. Holliday)', "" (Marcellino 'Mango' Montoya)""]"
1171,11m,['Chanion Kim'],[],"[' ()', ' ()', ' ()']"
1172,1h 26m,['Trevor Wall'],[],"[' (Norm (voice))', ' (Vera (voice))', ' (Olympia (voice))', ' (Mr. Greene (voice))', ' (Socrates (voice))', ' (Grandfather (voice))', ' (Forebear (voice))', ' (Pablo / Stan (voice))', ' (Norm Cub (voice) (uncredited))']"
1173,1h 37m,['Jon Cassar'],[],"[' (John Taylor)', ' (Laura Taylor)', ' (Anna Walsh)', ' (Todd Decker)', ' (Roland White)', ' (Martin Cooper)', ' (Mike Mitchell)', ' (Dr. Grace Park)', ' (Party Worker)']"
1174,1h 35m,['David Lam'],['David Lam'],"[' (William Luk)', ' (Lau Po-Keung)', ' (Song Yan-sheun)', ' (Wong Man-ling)', ' (Ebby Lau)', ' (Tammy Tam)', ' (Terry Lun)', ' (Ha Chi-Yin)', ' (Sun Wah-shan)']"
1175,1h 57m,['Tom Ford'],[],"[' (Susan Morrow)', ' (Edward Sheffield / Tony Hastings)', ' (Bobby Andes)', ' (Ray Marcus)', ' (Laura Hastings)', ' (India Hastings)', ' (Hutton Morrow)', ' (Lou Bates)', "" (Steve 'Turk' Adams)""]"
1176,2h 9m,['Naoko Yamada'],[],"[' (Shouya Ishida (voice))', ' (Shouko Nishimiya (voice))', ' (Yuzuru Nishimiya (voice))', ' (Tomohiro Nagatsuka (voice))', ' (Naoka Ueno (voice))', ' (Miyoko Sahara (voice))', ' (Miki Kawai (voice))', ' (Satoshi Mashiba (voice))', ' (Young Shouya Ishida (voice))']"
1177,2h 18m,['Nikolay Lebedev'],"['Nikolay Lebedev', 'Tikhon Kornev']","[' (Alexey Gushchin)', ' (Leonid Zinchenko)', ' (Alexandra)', ' (Nikolai Gushchin)', ' (Valera)', ' (Irina)', ' (Shestakov)', ' (Steward Andrey)', ' (Vika)']"
1178,2h 13m,['Andrey Kravchuk'],"['Andrey Kravchuk', 'Andrey Rubanov']","[' (Irina)', ' (Rogneda)', ' (Vladimir)', ' (Anastas)', ' (Ulvar)', ' (Volkhv)', ' (Blud)', ' (Berserk)', ' (Khevding)']"
1179,3h 10m,['Neeraj Pandey'],"['Neeraj Pandey', 'Dilip Jha']","["" (Mahendra 'Mahi' Singh Dhoni)"", ' (Paan Singh Dhoni)', ' (Priyanka Jha)', ' (Sakshi Singh Dhoni)', ' (Keshav Banerjee)', ' (Deval Sahay)', "" (Dhoni's Mother)"", ' (Jayanti Gupta)', ' (Mrs. Banerjee)']"
1180,2h 18m,['Maneesh Sharma'],['Habib Faisal'],"[' (Gaurav Chandna / Aryan Khanna)', "" (Gaurav's mother)"", "" (Gaurav's father)"", ' (Neha)', "" (Aryan Khanna's Legal Advisor)"", "" (Aryan Khanna's Wife)"", ' (Akhtar)', ' (Sid Kapoor)', ' (James)']"
1181,1h 48m,['Yao Tingting'],[],"[' (Gao Xiang)', ' (Lin Tianjiao)', ' (Huang Tao)', ' (Lu Tiantian)', ' (Ou Xiaoyang)', ' (Zhang Lan)', ' ()', ' (Newsstand Owner)', ' (Mr Hao)']"
1182,2h 13m,['Derek Cianfrance'],['Derek Cianfrance'],"[' (Tom Sherbourne)', ' (Isabel Sherbourne)', ' (Hannah Roennfeldt)', ' (Septimus Potts)', ' (Ralph Addicott)', ' (Adult Lucy-Grace)', ' (Lucy-Grace)', ' (Sergeant Vernon Knuckey)', ' (Gwen Potts)']"
1183,45m,['Toni Myers'],['Toni Myers'],"[' (Narrator (voice))', ' (Self (uncredited))', ' (Self (uncredited))', ' (Self (uncredited))']"
1184,1h 51m,"['Liu Lu', 'Zhou Shen']","['Liu Lu', 'Zhou Shen']","[' (Zhang Yiman)', ' (Sun Henghai)', ' (Zhou Tienan)', ' (Sun Jia)', ' (Pei Kuishan)', ' (Commisaire)', ' (铜匠)']"
1185,1h 16m,['Lu Chuan'],"['Lu Chuan', 'Phil Chapman', 'Brian Leith', 'David H. Fowler']","[' (Narrator: American version (voice))', ' (Narrator (voice))']"
1186,2h,['Benny Chan'],[],"[' (Yang Kenan)', ' (Cao Shaolun)', ' (Ma Feng)', ' (Zhang Yi)', ' (Bai Ling)', ' (Zhou Susu)', ' (Liao)', ' (Li Tieniu)', ' (Wang Weihu)']"
1187,2h 20m,['Gary Ross'],"['Gary Ross', 'Leonard Hartman']","[' (Newton Knight)', ' (Rachel)', ' (Moses Washington)', ' (Serena Knight)', ' (Daniel)', ' (Sumrall)', ' (Lieutenant Barbour)', ' (Miss Ellie)', ' (Prosecuting Attorney)']"
1188,1h 52m,"['John Requa', 'Glenn Ficarra']",['Robert Carlock'],"[' (Kim Barker)', ' (Tanya Vanderpoel)', ' (General Hollanek)', ' (Iain MacKelpie)', ' (Chris)', ' (Ali Massoud Sadiq)', ' (Fahim Ahmadzai)', ' (Tall Brian)', ' (Shakira)']"
1189,15m,['Pavla Stratulat'],[],"[' ()', ' ()', ' ()']"
1190,1h 50m,['Derek Tsang Kwok-Cheung'],"['Anni Baobei', 'Lam Wing-Sum', 'Li Yuan', 'Wu Nan', 'Xu Yimeng']","[' (Li Ansheng)', ' (Lin Qiyue)', ' (Su Jiaming)', "" (Qiyue's Father)"", ' (Xiao Ansheng)', ' (Young Lin Qiyue)', "" (Jiaming's Colleague)"", "" (Qiyue's Mother)""]"
1191,1h 20m,['Aleksey Tsitsilin'],"['Aleksey Tsitsilin', 'Robert Lence', 'Andrey Korn', 'Vladimir Nikolaev', 'Aleksey Zamyslov']","[' (Kay (voice))', ' (Gerda (voice) (as Nataliya Bystrova))', ' (Rollan (voice))', ' (Orm (voice))', ' (Shaman (voice))', ' (Alfida / Atamansha / Trollolyata (voice))', ' (Khippi (voice))', ' (Babushka Orma / Trollolyata (voice))', ' ()']"
1192,2h 1m,['Harold Cronk'],"['Chuck Konzelman', 'Cary Solomon']","[' (Tom Endler)', ' (Principal Kinney)', ' (Grace Wesley)', ' (School Attorney)', ' (Judge Stennis)', ' (Brooke Thawley)', ' (Walter Wesley)', ' (Martin Yip)', ' (Amy Ryan)']"
1193,1h 45m,['Fabien Onteniente'],['Fabien Onteniente'],"[' (Patrick Chirac)', ' (Jacky Pic)', ' (Laurette Pic)', ' (Paulo)', ' (Charmillard)', ' (Anne So)', ' (Morgane)', ' (Benji)', ' (José)']"
1194,1h 55m,['John Lee Hancock'],['Robert D. Siegel'],"[' (Ray Kroc)', ' (Dick McDonald)', ' (Mac McDonald)', ' (Joan Smith)', ' (Harry J. Sonneborn)', ' (Ethel Kroc)', ' (Fred Turner)', ' (June Martino)', ' (Rollie Smith)']"
1195,1h 32m,['Mark Waters'],"['Johnny Rosenthal', 'Shauna Cross']","[' (Willie Soke)', ' (Sunny Soke)', ' (Thurman Merman)', ' (Marcus Skidmore)', ' (Diane Hastings)', ' (Regent Hastings)', ' (Alice)', ' (Opal)', ' (Gina De Luca)']"
1196,2h 7m,['Cho Jung-lae'],['Cho Jung-lae'],"[' (Jung-min)', ' (Eun-kyung)', ' (Young-hee)', ' (Young-ok / Young-hee)', ' (Tanaka)', ' (Ryusuke)', ' (Kinoshita)', ' (Girl stand-in (uncredited))', "" (Jung-min's Father (uncredited))""]"
1197,28m,['Liu Mengjiao'],[],"[' ()', ' ()', ' ()']"
1198,1h 36m,"['Leslie Small', 'Tim Story']","['Joey Wells', 'Kevin Hart', 'Harry Ratchford']","[' (Himself)', ' (Money Berry)', ' (Rival Agent)', ' (Frank (Bartender))', ' (Victor)', ' (African Dictator)', ' (Denzel)']"
1199,1h 40m,['Nacho G. Velilla'],"['Laurence Rosenthal', 'Claudio Herrera', 'Sergio Sánchez']","[' (Ezequiel ""Zequi"" Alcántara)', ' (Miss Lucy)', ' (Caro)', ' (Laura)', ' (Monica)', ' (Nayeli)', ' (Tania)', ' (Miss Gaby)', ' (Sr. Valdez)']"
1200,1h 32m,['Steve Carr'],['Kara Holden'],"[' (Rafe Khatchadorian)', ' (Jules Khatchadorian)', ' (Georgia Khatchadorian)', ' (Principal Dwight)', ' (Leo Khatchadorian)', ' (Bear)', ' (Jeanne Galletta)', ' (Ida Stricker)', ' (Mr. Teller)']"
1201,1h 55m,['John Hillcoat'],['Matt Cook'],"[' (Chris Allen)', ' (Michael Atwood)', ' (Marcus Belmont)', ' (Irina Vlaslov)', ' (Sergeant Detective Jeffrey Allen)', ' (Gabe Welch)', ' (Jorge Rodriguez)', ' (Russel Welch)', ' (Michelle Allen)']"
1202,1h 30m,['Ash Brannon'],"['Ash Brannon', 'Ash Brannon', 'Zheng Jun', 'Kurt Voelker']","[' (Bodi (voice))', ' (Angus Scattergood (voice))', ' (Khampa (voice))', ' (Linnux (voice))', ' (Riff (voice))', ' (Darma (voice))', ' (Germur (voice))', ' (Trey (voice))', ' (Fleetwood Yak (voice))']"
1203,1h 51m,['Ross Katz'],[],"[' (Travis Parker)', ' (Gabby Holland)', ' (Stephanie Parker)', ' (Monica)', ' (Ryan McCarthy)', ' (Dr. Shep)', ' (Matt)', ' (Ben)', ' (Liz)']"
