,runtime,director,writer,actors
36,1h 45m,['Go Eun-gi'],[],"[' (Red)', ' (Rex)', ' (Painter)']"
37,1h 51m,['Robert Schwentke'],"['Cully Hamner', 'Erich Hoeber', 'Jon Hoeber']","[' (Frank Moses)', ' (Marvin Boggs)', ' (Joe Matheson)', ' (Victoria)', ' (Sarah Ross)', ' (William Cooper)', ' (Alexander Dunning)', ' (Ivan Simanov)', ' (Cynthia Wilkes)']"
38,1h 31m,['Tod Williams'],['Michael R. Perry'],"[' (Kristi Rey)', ' (Daniel Rey)', ' (Ali Rey)', ' (Katie Featherston)', ' (Micah Sloat)', ' (Brad)', ' (Martine)', ' (Hunter Rey)', ' (Hunter Rey)']"
39,1h 57m,['Joe Carnahan'],[],"[' (Hannibal)', ' (Face)', ' (Charisa Sosa)', ' (B.A. Baracus)', ' (Murdock)', ' (Lynch)', ' (General Morrison)', ' (Director McCready)', ' (General Javier Tuco)']"
40,1h 40m,['Jeff Tremaine'],"['Jeff Tremaine', 'Knate Gwaltney', 'Dimitry Elyashkevich', 'Johnny Knoxville', 'Ehren McGhehey', 'Trip Taylor', 'Loomis Fall', 'Greg Iguchi', 'Jarppi Leppälä', 'Madison Clapp', 'Dave Carnie', 'Dave England', 'Barry Owen Smoter', 'Chris Pontius', 'Ryan Dunn', 'David Weathers', 'Jarno Laasala', 'Steve-O', 'Spike Jonze', 'Jukka Hildén', 'Bam Margera', 'Lance Bangs', 'Mike Kassak', 'Preston Lacy', 'J.P. Blackmon', 'Sean Cliver', 'Hannu-Pekka Parviainen', 'Rick Kosick', 'Derek Freda', ""Jason 'Wee Man' Acuña""]","[' (Self)', ' (Self)', ' (Self)', ' (Self)', ' (Self)', ' (Self)', ' (Self)', ' (Self)', ' (Self)']"
41,1h 56m,['Adam McKay'],[],"[' (Detective Allen Gamble)', ' (Detective Terry Hoitz)', ' (Sheila Gamble)', ' (Captain Gene Mauch)', ' (David Ershon)', ' (Roger Wesley)', ' (P.K. Highsmith)', ' (Christopher Danson)', ' (Francine)']"
42,1h 38m,['Tony Scott'],['Mark Bomback'],"[' (Frank Barnes)', ' (Will Colson)', ' (Connie Hooper)', ' (Galvin)', ' (Dewey)', ' (Inspector Werner)', ' (Ned)', ' (Bunny)', ' (Darcy Colson)']"
43,1h 47m,['Jon M. Chu'],"['Amy Andelson', 'Emily Meyer']","[' (Luke)', ' (Moose)', ' (Julien)', ' (Natalie)', ' (Camille)', ' (Anala)', ' (Jason)', ' (Kid Darkness)', ' (Spinz)']"
44,1h 58m,"['Albert Hughes', 'Allen Hughes']",['Gary Whitta'],"[' (Eli)', ' (Carnegie)', ' (Solara)', ' (Redridge)', ' (Claudia)', ' (George)', ' (Engineer)', ' (Martha)', ' (Martz)']"
45,2h 5m,['Ben Affleck'],[],"[' (Doug MacRay)', ' (James ""Jem"" Coughlin)', ' (Claire Keesey)', ' (FBI S.A. Adam Frawley)', ' (Krista Coughlin)', ' (Albert ""Gloansy"" Magloan)', ' (Fergus ""Fergie"" Colm)', ' (Desmond ""Dez"" Elden)', ' (Dino Ciampa)']"
46,1h 28m,['Shawn Levy'],['Josh Klausner'],"[' (Phil Foster)', ' (Claire Foster)', ' (Holbrooke)', ' (Detective Arroyo)', ' (Armstrong)', ' (Collins)', ' (DA Frank Crenshaw)', ' (Katy)', ' (Cabbie)']"
47,1h 34m,['Hiromasa Yonebayashi'],[],"[' (Arrietty (voice))', ' (Shou (voice))', ' (Pod (voice))', ' (Sadako Maki (voice))', ' (Haru (voice))', ' (Homily (voice))', ' (Spiller (voice))', ' (Postman (voice))']"
48,1h 37m,['Zack Snyder'],[],"[' (Soren (voice))', ' (Kludd (voice))', ' (Noctus / Grimble (voice))', ' (Nyra (voice))', ' (Ezylryb (voice))', ' (Gylfie (voice))', ' (Otulissa (voice))', ' (Twilight (voice))', ' (Metalbeak (voice))']"
49,1h 43m,['Joe Johnston'],[],"[' (Lawrence Talbot)', ' (Sir John Talbot)', ' (Gwen Conliffe)', ' (Inspector Francis Abberline)', ' (Maleva)', ' (Singh)', ' (Dr. Hoenneger)', ' (Constable Nye)', ' (Solana Talbot)']"
50,1h 50m,['Andy Tennant'],['Sarah Thorp'],"[' (Milo Boyd)', ' (Nicole Hurley)', ' (Earl Mahler)', ' (Sid)', ' (Stewart)', ' (Uncle Sam)', ' (Teresa)', ' (Dwight)', ' (Gelman)']"
51,1h 30m,['Kevin Greutert'],[],"[' (John Kramer / Jigsaw)', ' (Mark Hoffman)', ' (Jill Tuck)', ' (Dr. Lawrence Gordon)', ' (Bobby Dagen)', ' (Gibson)', ' (Evan)', ' (Joyce)', ' (Cale)']"
52,2h 13m,['Oliver Stone'],"['Oliver Stone', 'Allan Loeb', 'Stephen Schiff', 'Stanley Weiser']","[' (Gordon Gekko)', ' (Jacob Moore)', ' (Bretton James)', ' (Winnie Gekko)', ' (Lewis Zabel)', ' (Sylvia Moore)', ' (Julie Steinhardt)', ' (Audrey)', ' (Jack Schwietzer)']"
53,1h 47m,['Nimród Antal'],"['Alex Litvak', 'Michael Finch']","[' (Royce)', ' (Edwin)', ' (Isabelle)', ' (Nikolai)', ' (Noland)', ' (Stans)', ' (Cuchillo)', ' (Hanzo)', ' (Mombasa)']"
54,1h 35m,['Samuel Bayer'],['Wesley Strick'],"[' (Freddy Krueger)', ' (Quentin Smith)', ' (Nancy Holbrook)', ' (Kris Fowles)', ' (Jesse Braun)', ' (Dean Russell)', ' (Alan Smith)', ' (Dr. Gwen Holbrook)', ' (Nora Fowles)']"
55,1h 48m,['Lasse Hallström'],[],"[' (Savannah Lynn Curtis)', ' (John Tyree)', ' (Mr. Tyree)', ' (Tim Wheddon)', ' (Noodles)', ' (Rooster)', ' (Starks)', ' (Berry)', ' (Captain Stone)']"
